id	name	kana	weather	sky_name	emotion	emotion_description	soranoeki_sky	soranoeki_sky_description	fortune_message	advice_message	lucky_action	lucky_item	lucky_color	lucky_place	archetype_1	archetype_2	archetype_3	character_name	sky_character_name	catch_copy	species	species_8	species_category_1	species_category_2	title	character_comment_1	character_comment_2	feeling_ kawaii	feeling	impulse	action	color	emotion_type	rank	rarity	fortune_score_1	fortune_score_2	energy	love	work	money	growth	healing	challenge	attribute	energy	love	work	money	growth	healing	challenge
48	水風井	すいふうせい	風	泉風空	安定感	内側から湧いてくる感覚	内側から湧く湧水	澄んだ泉から風が生まれ変わらない価値を静かに届けている	変わらない価値があなたを支えてくれます。	足元にある恵みを見直してみましょう。	いつもの習慣を丁寧に行う	水筒	アクアブルー	井戸や噴水の近く	循環	みたす人	いどばたさん	イズミ	泉まもりの人		泉風族	雨巡族	泉精	泉精	心を満たす泉の子	いつもの…	いつもの…	じんわり	満たしている	満たしたい	つづける…	teal	RAIN	SR	SR	85	84	68	76	82	84	86	88	60	安定系	72	80	82	78	84	90	48
49	沢火革	たくかかく	雷	革命空	変化欲求	大きく変わりたい感覚	大きく変わる革命夕焼け	夕焼けの空が大きく色を変え古い流れが新しい姿へ生まれ変わろうとしている	大きな変化の波が近づいています。	古い殻を脱ぐ勇気が未来を開きます。	新しいことを一つ始める	新しいノート	コーラルレッド	夕焼けの見える場所	変化	かわる人	かわりたいこ	カワル	夕焼けかわりの人		革命族	虹結族	革命精	再生精	変化を起こす夕空の子	かわるの…？	かわるの…？	うずうず	変わりたがっている	変わりたい	かわりたい…！	coral	MIXED	SSR	SR	90	90	88	72	86	80	96	62	94								
50	火風鼎	かふうてい	晴	聖火空	充実感	世界を整えていく感覚	世界を整える聖火	聖なる火が静かに燃え続け積み上げたものが形になろうとしている	積み上げてきたものが形になり始めます。	完成度を高める仕上げを意識しましょう。	作業を最後まで終わらせる	お気に入りの食器	ゴールド	ダイニング	完成	しあげる人	しあげやさん	カタチ	聖火つむぎの人		鼎火族	炎灯族	聖火精	聖火精	完成へ導く火の子	できた…！	できた…！	じゅうじつ	整っている	整えたい	ちゃんとする…！	gold	FIRE	SSR	SR	92	92	82	80	92	86	90	74	82								
51	震為雷	しんいらい	雷	爆雷空	驚愕	衝撃が走る感覚	衝撃が走る爆雷	突然の雷鳴が空を揺らし眠っていた力を呼び覚ましている	予想外の出来事が流れを動かします。	驚きの中にも成長の種があります。	気になったことを調べる	ベル	エレクトリックイエロー	開けた場所	覚醒	めざめる人	びっくりさん	ビリリ	雷めざめの人		轟雷族	雷芽族	雷精	雷精	眠りを破る雷の子	びっくり…！	びっくり…！	はっ	驚いている	目覚めたい	おきる…！	electric	LIGHTNING	SSR	SSR	93	84	98	68	78	70	88	52	98								
52	艮為山	ごんいさん	雪	静山空	平静	動きを止める感覚	動きを止める静山	雪をいただく山は静かに佇み立ち止まる大切さを教えている	立ち止まることで見える景色があります。	無理に動かず静けさを味わいましょう。	深呼吸をする	クッション	ストーングレー	山や丘	静止	やすむ人	おやすみさん	ヤスミ	雪やすみの人		静雪族	雪守族	山精	静山精	静けさを守る山の子	やすむ…	やすむ…	すやすや	休んでいる	止まりたい	やすむ…！	gray	EARTH	SR	SR	86	80	42	72	76	74	78	96	38								
53	風山漸	ふうざんぜん	風	渡風空	着実感	少しずつ近づく感覚	少しずつ近づく渡り風	渡り風が山を越え少しずつ確かな変化を運んでいる	少しずつ進む流れが味方しています。	焦らない積み重ねが成功につながります。	小さな目標を進める	ウォーキングシューズ	リーフグリーン	散歩道	漸進	すこしずつ進む人	てくてくさん	テクテク	渡り風の人		渡風族	風旅族	渡風精	渡風精	少しずつ進む風の子	ゆっくり…	ゆっくり…	てくてく	少しずつ進んでいる	進みたい	すこしずつ…！	leafgreen	WIND	SR	SR	84	88	72	84	86	80	94	82	70								
54	雷沢帰妹	らいたくきまい	雷	恋雷空	不安と期待	不安定な恋に揺れる感覚	揺れる春雷恋空	春の雷が水面を揺らし新しい関係の始まりを告げている	感情が揺れやすい一日になりそうです。	結論を急がず気持ちを見つめましょう。	心の声を書き出す	アクセサリー	ローズピンク	水辺	揺心	ゆれる人	どきどきさん	ココロネ	春雷ゆれの人		恋雷族	雷芽族	恋雷精	恋雷精	揺れる心の雷の子	どうなるの…？	どうなるの…？	そわどき	揺れている	受け入れたい	やってみる…！	plum	LIGHTNING	R	R	72	68	78	88	62	66	74	58	84								
55	雷火豊	らいかほう	雷	豊雷空	充足感	エネルギーが満ちる感覚	エネルギーが満ちる夏雷	雷光が空いっぱいに広がり生命の力が満ちあふれている	エネルギーが満ちあふれる好調日です。	勢いだけでなく周囲への配慮も忘れずに。	楽しい予定を入れる	ひまわり	サマーオレンジ	賑やかな場所	充実	みちあふれる人	ぱあっとさん	ミチル	雷みちる人		豊雷族	雷芽族	豊雷精	豊雷精	満ちあふれる雷の子	いっぱい…！	いっぱい…！	ぱあっ	満ちている	満たしたい	うれしい…！	coral	LIGHTNING	SSR	SSR	94	96	100	86	92	88	90	68	96								
56	火山旅	かざんりょ	風	旅火空	探求心	居場所を探し続ける感覚	居場所を探す焚火夜	遠くの灯火が旅人を照らし新しい景色へ導いている	新しい景色との出会いがありそうです。	変化を恐れず経験を楽しみましょう。	知らない道を歩く	トラベルポーチ	アンバー	駅	旅路	さがす人	たびするこ	タビル	旅びとの人		旅火族	炎灯族	旅火精	灯火精	居場所を探す旅の子	どこいくの…？	どこいくの…？	きょろきょろ	探している	探したい	いってみる…！	amber	FIRE	SR	R	78	74	76	66	72	68	86	60	82								
57	巽為風	そんいふう	風	明風空	柔軟さ	静かに染み込む感覚	静かに染み込む透明風	透明な風が静かに吹き抜け気づかないうちに世界へ染み込んでいく	優しい影響が静かに広がる日です。	強引さより柔らかな伝え方が効果的です。	感謝を伝える	羽根モチーフ	ティール	風通しの良い場所	浸透	ひろげる人	さらさらさん	ソヨカ	風しみこみの人		透風族	風旅族	透明風精	透明風精	世界へ広がる風の子	ひろがってる…	ひろがってる…	さらさら	広がっている	届けたい	ひろげたい…！	teal	CLEAR	SR	SR	88	88	70	84	84	80	88	82	68								
58	兌為沢	だいたく	虹	笑沢空	喜び	笑い合いたくなる感覚	笑い合いたくなる水光	雨上がりの光が水面に揺れ心から笑い合える空気が満ちている	笑顔や喜びが人を引き寄せます。	楽しい気持ちを周囲と分かち合いましょう。	好きな人と話す	笑顔の写真	アジュールブルー	湖畔	歓喜	わらう人	にこにこさん	ニコラ	笑い空の人		星彩族	虹結族	沢精	光結精	笑顔を集める沢の子	たのしい…！	たのしい…！	にこにこ	喜んでいる	笑いたい	うれしい…！	azure	RAIN	SR	SR	89	92	82	94	78	82	80	88	72								
59	風水渙	ふうすいかん	風	霧散空	解放感	境界が溶けていく感覚	境界が溶ける霧散	風が霧を運び境界をほどきながら新しい流れを生み出している	固まっていたものがほどけていきます。	執着を手放すと新しい流れが入ります。	不要な考えを手放す	アロマミスト	ミストグレー	川辺	拡散	ほどける人	ふわふわさん	フワリネ	霧ほどきの人		霧風族	受雲族	霧風精	霧精	境界をほどく風の子	ほどけてる…	ほどけてる…	ふわふわ	ほどけている	流したい	さらさら…！	mist	CLOUD	SR	SR	83	84	72	78	74	72	88	90	66								
60	水沢節	すいたくせつ	雨	冷泉空	自律感	自分を律する感覚	自分を律する冷泉	澄んだ泉が静かに流れ自分を整える節度を映している	自分を整えることが運気を高めます。	無理のない規律を大切にしてください。	生活リズムを整える	腕時計	スノーホワイト	図書館	節制	まもる人	ちゃんとさん	キチン	泉まもる人		節泉族	雨巡族	泉精	泉精	節度を守る泉の子	まもる…	ちゃんとする…	しゃきっ	律している	整えたい	ちゃんとする…！	snow	RAIN	SR	SR	82	82	64	72	86	84	82	86	58								
61	風沢中孚	ふうたくちゅうふ	虹	信風空	信頼感	心の奥を信じる感覚	心の奥を信じる青風	やさしい風が心の奥まで届き見えない信頼を育てている	信頼が深まる出来事がありそうです。	誠実な言葉が心を動かします。	約束を守る	手紙	スカイブルー	ベンチ	信頼	しんじあう人	しんじるこ	シンカ	信じ風の人		信風族	虹結族	信風精	信風精	信頼を育てる風の子	しんじる…	しんじる…	じーん	信じている	信じたい	だいじにする…！	azure	WIND	SSR	SR	90	94	76	96	84	80	88	90	72								
62	雷山小過	らいざんしょうか	雷	木霊空	気がかり	少しだけ行き過ぎる感覚	少しだけ行き過ぎる木霊雷	山あいに響く雷鳴が少しだけ行き過ぎた心を知らせている	細かなことに気づける日です。	大きな挑戦より丁寧な対応を心がけましょう。	身の回りを整える	メモ帳	リーフグリーン	森の小道	過敏	きをつかう人	きにしいさん	キヅカ	木霊ききの人		木霊族	雷芽族	木霊精	木霊精	小さな変化に気づく雷の子	やりすぎた…？	やりすぎた…？	おろおろ	気にしている	調整したい	なおしたい…！	leafgreen	LIGHTNING	SR	R	75	70	66	70	78	72	82	68	56								
63	水火既済	すいかきせい	晴	蒼炎空	達成感	完成した静けさの感覚	完成した静けさの蒼炎	静かな蒼い炎が揺れひとつの完成を穏やかに照らしている	ひとつの区切りや達成が見えてきます。	完成した後の維持も大切です。	成果を振り返る	青いキャンドル	ディープパープル	落ち着く部屋	完成	たもつ人	このままさん	アオビ	蒼炎まもりの人		蒼炎族	創空族	蒼炎精	蒼炎精	完成を見守る炎の子	できた…！	できた…！	おちつく	達成している	保ちたい	このまま…！	purple	CLEAR	SSR	SSR	96	98	84	88	96	92	78	94	60								
64	火水未済	かすいびせい	雨	未明空	焦りと希望	まだ終われない感覚	まだ終われない未明空	夜明け前の空がまだ続く物語と次の始まりを待っている	物語はまだ続いています。	焦らず次の一歩を準備しましょう。	明日の目標を決める	鍵モチーフ	オブシディアン	夜明け前の空が見える場所	未完	つづきを歩く人	まだまださん	アケル	夜明けまちの人		未明族	虹結族	未明精	再生精	続きを歩く夜明けの子	まだだよ…！	まだだよ…！	まだまだ	まだ続いている	続けたい	もうちょっと…！	obsidian	MIXED	SR	SSR	80	78	80	76	74	70	98	62	94								
